mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death
Julio Rey Pastor,"['mathematician', 'historian of mathematics', 'university teacher']",['Spain'],Logroño,21 February 1962,['University of Zaragoza'],['Complutense University of Madrid'],['Buenos Aires'],"['Real Academia Española', 'Spanish Royal Academy of Sciences']",['Complutense University of Madrid'],['Eduardo Torroja Caballe'],['Spanish'],,['Sixto Ríos'],,,,"['Civil Order of Alfonso X, the Wise']",,['human'],['male'],False,14,August,1888,False,21,February,1962
Bahāʾ al-dīn al-ʿĀmilī,"['mathematician', 'scientist', 'astronomer', 'writer', 'architect', 'astrologer']",['Iran'],Baalbek,1622,,,['Isfahan'],,,,['Persian'],,,,,"['mathematician', 'astronomer', 'philosopher', 'poet']",,,['human'],['male'],False,18,February,1547,False,,,1622
Gábor Domokos,['mathematician'],['Hungary'],Budapest,,,,,['Hungarian Academy of Sciences'],,,,,,,,,,,['human'],['male'],False,12,November,1961,False,,,
Ngaiming Mok,"['mathematician', 'university teacher']","[""People's Republic of China""]",Hong Kong,,,,,,,,,,,,,,,,['human'],['male'],True,,,1900,False,,,
Ian R. Porteous,['mathematician'],['United Kingdom'],,30 January 2011,"['University of Edinburgh', ""George Watson's College"", 'Trinity College']",,,,,['W. V. D. Hodge'],,,,,,['differential geometry'],,,['human'],['male'],False,9,October,1930,False,30,January,2011
Bapudeva Sastri,"['astronomer', 'translator', 'pupil', 'mathematician', 'historian of mathematics']",['India'],Maharashtra,1900,,,,,,,,,,,,,,,['human'],['male'],False,1,November,1821,False,,,1900
Raphael M. Robinson,"['mathematician', 'philosopher', 'university teacher']",['United States of America'],National City,27 January 1995,"['University of California, Berkeley']","['University of California, Berkeley']",['Berkeley'],,"['University of California, Berkeley']",,,,,,,['set theory'],,,['human'],['male'],False,2,November,1911,False,27,January,1995
Motosaburo Masuyama,['statistician'],['Japan'],Otaru,3 July 2005,,['Tokyo University of Science'],,,['Tokyo University of Science'],,,,,,,,,,['human'],['male'],False,3,October,1912,False,3,July,2005
John Blissard,['mathematician'],,,1875,,,,,,,,,,,,,,,['human'],['male'],False,,,1803,False,,,1875
Thābit ibn Qurra,"['mathematician', 'astronomer', 'physician', 'astrologer']",['Abbasid Caliphate'],"Harran, Syria, Abbasid Caliphate",23 February 901,,['House of Wisdom'],"['Baghdad', 'Iraq', 'Abbasid Caliphate']",,['House of Wisdom'],['Banū Mūsā'],['Arabic'],,,,,['number theory'],,,['human'],['male'],False,,,836,False,23,February,901
Tamás Szőnyi,['mathematician'],['Hungary'],Budapest,,,,,,,,,,,,,['combinatorics'],,,['human'],['male'],False,23,July,1957,False,,,
Alexander Lavut,"['mathematician', 'programmer', 'human rights activist']","['Soviet Union', 'Russia']",,23 June 2013,['Moscow State University'],,,,,,,,,,,['Human rights in the Soviet Union'],,,['human'],['male'],False,4,July,1929,False,23,June,2013
Filippo Ferrari,"['astronomer', 'lexicographer', 'linguist', 'hagiographer', 'geographer', 'mathematician']",,,1626,,,,,,,,,,,,,,,['human'],['male'],False,,,1551,False,,,1626
Paolo Dagomari di Prato,"['poet', 'astronomer', 'mathematician']",,"Prato, presumably",1374,,,['Florence'],,,,['Italian'],,,,,,,,['human'],['male'],False,,,1282,False,,,1374
Hourya Sinaceur,"['philosopher', 'professor', 'mathematician']",['Morocco'],Casablanca,,,['University of Paris'],,,['University of Paris'],,['French'],,,,,,,,['human'],['female'],False,,,1940,False,,,
Aslak Tveito,['computer scientist'],,,,,,,,,,,,,,,,,,['human'],['male'],False,17,February,1961,False,,,
Steven Roman,['mathematician'],['United States of America'],,,,,,,,,['English'],,,,,,,,['human'],['male'],False,,,,False,,,
Otfrid Mittmann,['mathematician'],,Ruda Śląska,10 August 1998,,,,,,,,,,,,,,,['human'],['male'],False,27,December,1908,False,10,August,1998
Étienne Bézout,['mathematician'],['France'],Nemours,27 September 1783,,,['Fontainebleau'],"['French Academy of Sciences', 'Académie de Marine']",,,['French'],,,,,['number theory'],,,['human'],['male'],False,31,March,1730,False,27,September,1783
Ennio de Giorgi,['mathematician'],['Italy'],Lecce,25 October 1996,['Sapienza University of Rome'],,['Pisa'],"['French Academy of Sciences', 'Lincean Academy', 'Pontifical Academy of Sciences', 'National Academy of Sciences']",,['Mauro Picone'],['Italian'],,,,,"['mathematical analysis', 'partial differential equation']",,['3±0'],['human'],['male'],False,8,February,1928,False,25,October,1996
Robert Moody,"['mathematician', 'university teacher']",['Canada'],,,['University of Toronto'],['University of Alberta'],,['Royal Society of Canada'],['University of Alberta'],['Maria Wonenburger'],,,,,,,"['Officer of the Order of Canada', 'Wigner Medal', '1996', 'CRM-Fields-PIMS prize', '1998', 'Coxeter–James Prize', '1978']",,['human'],['male'],False,28,November,1941,False,,,
James Keener,['mathematician'],,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Conon of Samos,"['astronomer', 'mathematician']",,Samos,220s BCE,,,['Alexandria'],,,,,,,,,,,,['human'],['male'],False,,,-280s,False,,,-220s
Lillian Rosanoff Lieber,['mathematician'],['United States of America'],,11 July 1986,,,,,,,,,,,,,,,['human'],['female'],False,26,July,1886,False,11,July,1986
Joel David Hamkins,['mathematician'],['United States of America'],,,"['University of California, Berkeley']",,,,,['W. Hugh Woodin'],,,,,,,,,['human'],['male'],False,,,,False,,,
Harold Edwards (mathematician),"['mathematician', 'historian of mathematics']",['United States of America'],Champaign,,['Harvard University'],"['Harvard University', 'New York University', 'Columbia University']",,['American Mathematical Society'],"['Harvard University', 'New York University', 'Columbia University']",['Raoul Bott'],['English'],,,,,,['John Simon Guggenheim Memorial Foundation Fellowship'],,['human'],['male'],False,6,August,1936,False,,,
Stephen Cole Kleene,"['mathematician', 'computer scientist', 'philosopher', 'university teacher']",['United States of America'],Hartford,25 January 1994,"['Princeton University', 'Amherst College']",['University of Wisconsin–Madison'],['Madison'],"['National Academy of Sciences', 'American Academy of Arts and Sciences']",['University of Wisconsin–Madison'],['Alonzo Church'],,,,,,['theoretical computer science'],"['John Simon Guggenheim Memorial Foundation Fellowship', 'National Medal of Science', '1990']",,['human'],['male'],False,5,January,1909,False,25,January,1994
Maria Wonenburger,"['mathematician', 'professor', 'writer']",['Spain'],Oleiros,14 June 2014,"['Yale University', 'University of Madrid']","['University at Buffalo, The State University of New York']",['A Coruña'],['Q6102145'],"['University at Buffalo, The State University of New York']",['Q6148619'],['Spanish'],,,,,,"['honorary degree', 'University of A Coruña']",,['human'],['female'],False,19,July,1927,False,14,June,2014
Marta Sanz-Solé,"['mathematician', 'professor']",['Spain'],Sabadell,,['University of Barcelona'],['University of Barcelona'],,"['Q29790191', '17 November 2016']",['University of Barcelona'],['David Nualart'],,,,,,,"['Q33249764', '2017', 'Q6102145']",,['human'],['female'],False,19,January,1952,False,,,
Robert B. Lisek,"['artist', 'mathematician']",,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Odd Aalen,['statistician'],['Norway'],Oslo,,"['University of Oslo', 'University of California, Berkeley']",['University of Oslo'],,['Norwegian Academy of Science and Letters'],['University of Oslo'],,,,,,,,,,['human'],['male'],False,6,May,1947,False,,,
David Wallace (physicist),['mathematician'],,,,"['University of Edinburgh', 'Princeton University']",['University of Southampton'],,['Royal Society'],['University of Southampton'],['Peter Higgs'],,,,,,,"['Fellow of the Royal Society', 'Commander of the Order of the British Empire']",,['human'],['male'],False,7,October,1945,False,,,
Maurice Solovine,"['mathematician', 'philosopher', 'translator']",['Romania'],Romania,1958,,,['Paris'],,,,['French'],,,,,,,,['human'],['male'],False,,,1875,False,,,1958
Jenő Egerváry,"['mathematician', 'university teacher']","['Hungary', 'Austria-Hungary']",Debrecen,30 November 1958,,,['Budapest'],['Hungarian Academy of Sciences'],,['Lipót Fejér'],,,,,,,['Kossuth Prize'],,['human'],['male'],False,16,April,1891,False,30,November,1958
Ivan Śleszyński,"['mathematician', 'philosopher']","['Russian Empire', 'Poland']",Lysianka,9 March 1931,,,['Kraków'],,,['Karl Weierstraß'],,,,,,['proof theory'],,,['human'],['male'],False,23,July,1854,False,9,March,1931
Carlos Castillo-Chavez,['mathematician'],"['United States of America', 'Mexico']",Mexico City,,"['University of Wisconsin–Madison', 'University of Wisconsin–Milwaukee']","['Cornell University', 'Arizona State University', 'Santa Fe Institute']",,['American Mathematical Society'],"['Cornell University', 'Arizona State University', 'Santa Fe Institute']",,,,,,,,,['3±0'],['human'],['male'],False,29,March,1952,False,,,
Alessandro Figà Talamanca,['mathematician'],['Italy'],Rome,,['Sapienza University of Rome'],,,,,,,,,,,,,,['human'],['male'],False,25,May,1938,False,,,
András Sárközy,['mathematician'],['Hungary'],Budapest,,,,,['Hungarian Academy of Sciences'],,,,,,,,['number theory'],,['1±0'],['human'],['male'],False,16,January,1941,False,,,
Joseph Adna Hill,['statistician'],['United States of America'],,1938,['Harvard University'],,,,,,,,,,,,,,['human'],['male'],False,,,1860,False,,,1938
Herman Chernoff,"['mathematician', 'physicist', 'statistician']",['United States of America'],New York City,,['Brown University'],['Harvard University'],,"['American Mathematical Society', 'National Academy of Sciences', 'American Academy of Arts and Sciences']",['Harvard University'],['Abraham Wald'],,,,,,,,['3±0'],['human'],['male'],False,1,July,1923,False,,,
Georg Bohlmann,['mathematician'],['Germany'],Berlin,25 April 1928,,,['Berlin'],,,['Friedrich Heinrich Albert Wangerin'],,,,,,,,,['human'],['male'],False,23,April,1869,False,25,April,1928
Lucjan Böttcher,"['mathematician', 'university teacher']",['Poland'],Warsaw,29 May 1937,,,['Lviv'],,,['Sophus Lie'],,,,,,,,,['human'],['male'],False,7,January,1872,False,29,May,1937
Leonard Eugene Dickson,"['mathematician', 'historian of mathematics', 'university teacher']",['United States of America'],Iowa,17 January 1954,"['University of Chicago', 'University of Texas at Austin']","['University of Texas at Austin', 'University of Chicago']",['Harlingen'],"['National Academy of Sciences', 'American Academy of Arts and Sciences']","['University of Texas at Austin', 'University of Chicago']",['Eliakim Hastings Moore'],['English'],,['Ivan M. Niven'],,,"['Q3968', 'number theory']","['Cole Prize in Algebra', '1928']",,['human'],['male'],False,22,January,1874,False,17,January,1954
Jean-Jacques Moreau,['mathematician'],['France'],Blaye,9 January 2014,,,['Montpellier'],,,,['French'],,,,,['mathematics'],,,['human'],['male'],False,31,July,1923,False,9,January,2014
Ky Fan,['mathematician'],"['China', ""People's Republic of China""]",China,22 March 2010,"['Peking University', 'University of Paris']","['Northwestern University', 'Wayne State University', 'University of Notre Dame']",['Santa Barbara'],['Academia Sinica'],"['Northwestern University', 'Wayne State University', 'University of Notre Dame']",['Maurice René Fréchet'],['French'],,,,,,,['2±0'],['human'],['male'],False,19,September,1914,False,22,March,2010
Désiré André,"['mathematician', 'university teacher']",['France'],Lyon,12 September 1917,,,['Paris'],,,,['French'],,,,,,"['Poncelet Prize', '1904']",,['human'],['male'],False,29,March,1840,False,12,September,1917
J. Nathan Kutz,[''],,,,['University of Washington'],['University of Washington'],,,['University of Washington'],,,,,,,,,,['human'],['male'],False,,,,False,,,
James Ax,"['mathematician', 'university teacher']",['United States of America'],,11 June 2006,"['University of California, Berkeley']",['Cornell University'],,,['Cornell University'],,,,,,,['model theory'],"['John Simon Guggenheim Memorial Foundation Fellowship', 'Cole Prize in Number Theory']",['3±0'],['human'],['male'],False,10,January,1937,False,11,June,2006
David G. Cantor,['mathematician'],['United States of America'],,19 November 2012,['California Institute of Technology'],"['University of California, Los Angeles', 'University of Washington']",,['American Mathematical Society'],"['University of California, Los Angeles', 'University of Washington']",,,,,,,,,,['human'],['male'],False,,,1935,False,19,November,2012
Henry Hickman Harte,['mathematician'],,,5 April 1848,,,,,,,,,,,,,,,['human'],['male'],False,,,1790,False,5,April,1848
Jean-Claude Falmagne,"['mathematician', 'psychologist']",['Belgium'],Brussels-Capital Region,,,"['New York University', 'University of Michigan', 'University of California, Irvine']",,,"['New York University', 'University of Michigan', 'University of California, Irvine']",,,,,,,,"['John Simon Guggenheim Memorial Foundation Fellowship', 'Fulbright Scholarship']",,['human'],['male'],False,2,April,1934,False,,,
Brian D. Ripley,"['statistician', 'university teacher', 'artificial intelligence researcher']",['United Kingdom'],,,['University of Cambridge'],,,['Royal Society of Edinburgh'],,['David George Kendall'],['English'],,,,,,,,['human'],['male'],False,29,April,1952,False,,,
Oscar Schlömilch,"['mathematician', 'university teacher']",['Germany'],Weimar,7 February 1901,,['TU Dresden'],['Dresden'],"['Saxon Academy of Sciences', '7 February 1852Gregorian', 'ordinary member', 'Royal Swedish Academy of Sciences', 'German Academy of Sciences Leopoldina', '1863']",['TU Dresden'],,['German'],,,,,,,,['human'],['male'],False,13,April,1823,False,7,February,1901
Susanna S. Epp,['mathematician'],['United States of America'],,,,,,,,,,,,,,['mathematical logic'],,,['human'],['female'],False,,,,False,,,
Ferdinando Piretti,['mathematician'],,,1700,,,,,,,,,,,,,,,['human'],['male'],True,,,1600,True,,,1700
Olav Reiersøl,"['statistician', 'Esperantist']",['Norway'],,14 February 2001,,,,['International Academy of Sciences San Marino'],,,"['Esperanto', 'Norwegian']",,,,,,,,['human'],['male'],False,28,June,1908,False,14,February,2001
Hanna Neumann,"['mathematician', 'scientist', 'university teacher']","['Germany', 'Australia']",Berlin,14 November 1971,"[""St Anne's College"", 'University of Göttingen', 'Australian National University']",['University of Manchester'],['Ottawa'],['Australian Academy of Science'],['University of Manchester'],['Olga Taussky-Todd'],['German'],,,,,['group theory'],,,['human'],['female'],False,12,February,1914,False,14,November,1971
Siavash Shahshahani,['mathematician'],['Iran'],Tehran,,"['University of California, Berkeley']",,,,,,,,,,,,,,['human'],['male'],False,,,1942,False,,,
Anatoli N. Andrianov,['mathematician'],['Soviet Union'],Soviet Union,,,,,,,,,,,,,,,,['human'],['male'],False,21,July,1936,False,,,
Nora Calderwood,['mathematician'],,Blairgowrie,April 1985,['University of Edinburgh'],,,,,,,,,,,,,,['human'],['female'],False,14,March,1896,False,,April,1985
Agnes Meyer Driscoll,['mathematician'],['United States of America'],Illinois,16 September 1971,['Ohio State University'],,,,,,,,,,,,,,['human'],['female'],False,24,July,1889,False,16,September,1971
R. Leonard Brooks,['mathematician'],['United Kingdom'],,18 June 1993,,,,,,,,,,,,['graph theory'],,,['human'],['male'],False,6,February,1916,False,18,June,1993
Thomas Clausen (mathematician),"['mathematician', 'astronomer']",['Duchy of Schleswig'],Sønderborg,24 May 1885,,,['Tartu'],,,,,,,,,"['mathematics', 'astronomy']",,,['human'],['male'],False,16,January,1801,False,24,May,1885
Ibn Shuayb,"['astronomer', 'mathematician']",,,1 March 1349,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,1,March,1349
